Rk,Player,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Player-additional
39,Bryson Stott*,4.3,151,640.0,585.0,78,164.0,32,2,15.0,62.0,31,3,39,100,.280,0.329,0.419,0.747,103,.339,106,245,stottbr01
40,Adolis García,4.2,148,632.0,555.0,108,136.0,29,0,39.0,107.0,9,1,65,175,.245,0.328,0.508,0.836,127,.360,123,282,garciad02
41,Isaac Paredes,4.2,143,571.0,492.0,71,123.0,24,0,31.0,98.0,1,0,58,104,.250,0.352,0.488,0.84,130,.367,136,240,paredis01
42,Will Smith,4.1,126,554.0,464.0,80,121.0,21,2,19.0,76.0,3,0,63,89,.261,0.359,0.438,0.797,116,.349,114,203,smithwi05
43,Ke'Bryan Hayes,4.0,124,525.0,494.0,65,134.0,31,7,15.0,61.0,10,6,28,104,.271,0.309,0.453,0.762,103,.324,101,224,hayeske01
44,Sean Murphy,3.9,108,438.0,370.0,65,93.0,21,0,21.0,68.0,0,0,49,98,.251,0.365,0.478,0.844,127,.371,129,177,murphse01
45,Brandon Nimmo*,3.9,152,682.0,592.0,89,162.0,30,6,24.0,68.0,3,3,74,146,.274,0.363,0.466,0.829,128,.362,130,276,nimmobr01
46,Daulton Varsho*,3.9,158,581.0,527.0,65,116.0,23,3,20.0,61.0,16,7,45,135,.220,0.285,0.389,0.674,84,.299,87,205,varshda01
47,Kevin Kiermaier*,3.9,129,408.0,370.0,58,98.0,21,6,8.0,36.0,14,1,29,86,.265,0.322,0.419,0.741,103,.330,104,155,kiermke01
48,Jeremy Peña,3.8,150,634.0,577.0,81,152.0,32,3,10.0,52.0,13,9,43,129,.263,0.324,0.381,0.705,95,.315,99,220,penaje02
49,TJ Friedl*,3.8,138,556.0,488.0,73,136.0,22,8,18.0,66.0,27,6,47,90,.279,0.352,0.467,0.819,117,.363,120,228,friedtj01
50,Christian Walker,3.8,157,661.0,582.0,86,150.0,36,2,33.0,103.0,11,0,62,127,.258,0.333,0.497,0.83,122,.356,120,289,walkech02
51,William Contreras,3.8,141,611.0,540.0,86,156.0,38,1,17.0,78.0,6,1,63,126,.289,0.367,0.457,0.825,124,.362,127,247,contrwi02
52,Josh Lowe*,3.7,135,501.0,466.0,71,136.0,33,2,20.0,83.0,32,3,31,124,.292,0.335,0.5,0.835,128,.370,130,233,lowejo01
53,Bryce Harper*,3.7,126,546.0,457.0,84,134.0,29,1,21.0,72.0,11,3,80,119,.293,0.401,0.499,0.9,145,.387,145,228,harpebr03
54,Matt McLain,3.7,89,403.0,365.0,65,106.0,23,4,16.0,50.0,14,5,31,115,.290,0.357,0.507,0.864,127,.381,135,185,mclaima01
55,Chas McCormick,3.6,115,457.0,403.0,59,110.0,17,2,22.0,70.0,19,6,40,117,.273,0.353,0.489,0.842,130,.367,132,197,mccorch01
56,Christian Yelich*,3.6,144,632.0,550.0,106,153.0,34,1,19.0,76.0,28,3,78,140,.278,0.37,0.447,0.818,123,.366,126,246,yelicch01
57,J.T. Realmuto,3.6,135,540.0,489.0,70,123.0,28,5,20.0,63.0,16,5,35,138,.252,0.31,0.452,0.762,105,.339,110,221,realmjt01
58,Steven Kwan*,3.6,158,718.0,638.0,93,171.0,36,7,5.0,54.0,21,3,70,75,.268,0.34,0.37,0.71,97,.319,100,236,kwanst01
59,Randy Arozarena,3.5,151,654.0,551.0,95,140.0,19,3,23.0,83.0,22,10,80,156,.254,0.364,0.425,0.789,119,.351,125,234,arozara01
60,Rafael Devers*,3.5,153,656.0,580.0,90,157.0,34,0,33.0,100.0,5,1,62,126,.271,0.351,0.5,0.851,126,.365,126,290,deverra01
61,Brandon Marsh*,3.4,133,472.0,404.0,58,112.0,25,6,12.0,60.0,10,2,59,144,.277,0.372,0.458,0.829,126,.367,130,185,marshbr02
62,Michael Harris II*,3.4,138,539.0,505.0,76,148.0,33,3,18.0,57.0,20,4,25,101,.293,0.331,0.477,0.808,116,.351,112,241,harrimi04
63,Trea Turner,3.4,155,691.0,639.0,102,170.0,35,5,26.0,76.0,30,0,45,150,.266,0.32,0.459,0.778,110,.349,112,293,turnetr01
64,Willson Contreras,3.4,125,495.0,428.0,55,113.0,27,0,20.0,67.0,6,3,51,111,.264,0.358,0.467,0.826,123,.368,132,200,contrwi01
65,Paul Goldschmidt,3.4,154,687.0,593.0,89,159.0,31,0,25.0,80.0,11,2,87,161,.268,0.363,0.447,0.81,120,.355,120,265,goldspa01
66,CJ Abrams*,3.4,151,614.0,563.0,83,138.0,28,6,18.0,64.0,47,4,32,118,.245,0.3,0.412,0.712,96,.324,93,232,abramcj01
67,Lars Nootbaar*,3.3,117,503.0,426.0,74,111.0,23,1,14.0,46.0,11,1,72,99,.261,0.367,0.418,0.784,114,.354,119,178,nootbla01
68,Lane Thomas,3.3,156,682.0,628.0,101,168.0,36,3,28.0,86.0,20,5,36,176,.268,0.315,0.468,0.783,115,.343,115,294,thomala02
69,Marcell Ozuna,3.3,144,592.0,530.0,84,145.0,29,1,40.0,100.0,0,0,57,134,.274,0.346,0.558,0.905,140,.384,139,296,ozunama01
70,James Outman*,3.3,151,567.0,483.0,86,120.0,16,3,23.0,70.0,16,3,68,181,.248,0.353,0.437,0.79,114,.349,112,211,outmaja01
71,Ryan Jeffers,3.3,96,335.0,286.0,46,79.0,15,2,14.0,43.0,3,2,33,93,.276,0.369,0.49,0.858,133,.368,135,140,jeffery01
72,Anthony Volpe,3.3,159,601.0,541.0,62,113.0,23,4,21.0,60.0,24,5,52,167,.209,0.283,0.383,0.666,81,.299,80,207,volpean01
73,Cal Raleigh#,3.2,145,569.0,513.0,78,119.0,23,1,30.0,75.0,0,0,54,158,.232,0.306,0.456,0.762,114,.331,113,234,raleica01
74,Yainer Diaz,3.2,104,377.0,355.0,51,100.0,22,0,23.0,60.0,0,0,11,74,.282,0.308,0.538,0.846,128,.363,131,191,diazya02
75,Pete Alonso,3.2,154,658.0,568.0,92,123.0,21,2,46.0,118.0,4,1,65,151,.217,0.318,0.504,0.821,123,.351,121,286,alonspe01
76,Anthony Santander#,3.0,153,656.0,591.0,81,152.0,41,1,28.0,95.0,5,1,55,152,.257,0.325,0.472,0.797,121,.341,119,279,santaan02
77,Ian Happ#,3.0,158,691.0,580.0,86,144.0,35,4,21.0,84.0,14,3,99,153,.248,0.36,0.431,0.791,118,.351,114,250,happia01
78,Willy Adames,3.0,149,638.0,553.0,73,120.0,29,2,24.0,80.0,5,3,71,165,.217,0.31,0.407,0.717,94,.313,94,225,adamewi01
79,Lourdes Gurriel Jr.,3.0,145,592.0,551.0,65,144.0,35,2,24.0,82.0,5,0,33,103,.261,0.309,0.463,0.772,107,.333,105,255,gurrilo01
80,Ryan McMahon*,2.9,152,627.0,555.0,80,133.0,31,3,23.0,70.0,5,5,68,198,.240,0.322,0.431,0.753,94,.326,90,239,mcmahry01
81,Gleyber Torres,2.9,158,672.0,596.0,90,163.0,28,2,25.0,68.0,13,6,67,98,.273,0.347,0.453,0.8,118,.344,116,270,torregl01
82,Spencer Steer,2.9,156,665.0,582.0,74,158.0,37,3,23.0,86.0,15,3,68,139,.271,0.356,0.464,0.82,117,.360,120,270,steersp01
83,Manny Machado,2.9,138,601.0,543.0,75,140.0,21,0,30.0,91.0,3,2,50,109,.258,0.319,0.462,0.782,113,.337,115,251,machama01
84,Jeimer Candelario#,2.9,140,576.0,505.0,77,127.0,39,3,22.0,70.0,8,1,53,127,.251,0.336,0.471,0.807,121,.353,121,238,candeje01
85,Mike Trout,2.9,82,362.0,308.0,54,81.0,14,1,18.0,44.0,2,0,45,104,.263,0.367,0.49,0.858,132,.366,129,151,troutmi01
86,Jonah Heim#,2.9,131,501.0,457.0,61,118.0,28,0,18.0,95.0,2,0,40,96,.258,0.317,0.438,0.755,106,.329,103,200,heimjo01
87,Max Kepler*,2.9,130,491.0,438.0,72,114.0,22,2,24.0,66.0,1,1,45,106,.260,0.332,0.484,0.816,120,.353,124,212,keplema01
88,Seiya Suzuki,2.8,138,583.0,515.0,75,147.0,31,6,20.0,74.0,6,7,59,130,.285,0.357,0.485,0.842,130,.357,122,250,suzukse01
89,Jose Altuve,2.8,90,410.0,360.0,76,112.0,21,2,17.0,51.0,14,2,44,71,.311,0.393,0.522,0.915,151,.396,151,188,altuvjo01
90,Cedric Mullins*,2.8,116,455.0,404.0,51,94.0,23,3,15.0,74.0,19,3,43,101,.233,0.305,0.416,0.721,101,.316,97,168,mullice01
91,Luke Raley*,2.8,118,406.0,357.0,56,89.0,23,3,19.0,49.0,14,3,28,128,.249,0.333,0.49,0.824,125,.358,127,175,raleylu01
92,Mauricio Dubón,2.7,132,492.0,467.0,76,130.0,26,3,10.0,46.0,7,2,19,70,.278,0.309,0.411,0.72,97,.324,103,192,dubonma01
93,Willi Castro#,2.7,124,409.0,358.0,60,92.0,18,5,9.0,34.0,33,5,34,99,.257,0.339,0.411,0.75,105,.341,106,147,castrwi01
94,Carlos Santana#,2.7,146,619.0,550.0,78,132.0,33,1,23.0,86.0,6,0,65,104,.240,0.318,0.429,0.747,101,.331,104,236,santaca01
95,LaMonte Wade Jr.*,2.7,135,519.0,429.0,64,110.0,14,2,17.0,45.0,2,0,76,95,.256,0.373,0.417,0.79,120,.355,125,179,wadela01
96,Max Muncy*,2.6,135,579.0,482.0,95,102.0,17,1,36.0,105.0,1,2,85,153,.212,0.333,0.475,0.808,117,.345,113,229,muncyma01
97,Wilmer Flores,2.6,126,454.0,405.0,51,115.0,22,0,23.0,60.0,0,0,41,63,.284,0.355,0.509,0.863,137,.369,135,206,florewi01
98,Edouard Julien*,2.6,109,408.0,338.0,60,89.0,16,1,16.0,37.0,3,0,64,128,.263,0.381,0.459,0.839,130,.366,131,155,julieed01
99,Zack Gelof,2.6,69,300.0,270.0,40,72.0,20,1,14.0,32.0,14,2,26,82,.267,0.337,0.504,0.84,134,.361,134,136,gelofza01
100,Alex Verdugo*,2.6,142,602.0,546.0,81,144.0,37,5,13.0,54.0,5,3,45,93,.264,0.324,0.421,0.745,100,.324,98,230,verdual01
101,Leody Taveras#,2.6,143,554.0,511.0,67,136.0,31,3,14.0,67.0,14,4,35,117,.266,0.312,0.421,0.733,101,.321,96,215,taverle01
102,Nathaniel Lowe*,2.6,161,724.0,623.0,89,163.0,38,3,17.0,82.0,1,0,93,165,.262,0.36,0.414,0.775,114,.344,113,258,lowena01
103,Austin Hays,2.5,144,566.0,520.0,76,143.0,36,2,16.0,67.0,5,1,38,141,.275,0.325,0.444,0.769,114,.330,111,231,haysau01
104,Jake Burger,2.5,141,540.0,492.0,71,123.0,28,1,34.0,80.0,1,1,32,149,.250,0.309,0.518,0.828,119,.354,121,255,burgeja01
105,Johan Rojas,2.5,59,164.0,149.0,24,45.0,9,2,2.0,23.0,14,1,5,42,.302,0.342,0.43,0.771,110,.347,106,64,rojasjo03
106,Ezequiel Tovar,2.5,153,615.0,581.0,79,147.0,37,4,15.0,73.0,11,5,25,166,.253,0.287,0.408,0.695,79,.305,74,237,tovarez01
107,Josh Naylor*,2.5,121,495.0,452.0,52,139.0,31,0,17.0,97.0,10,3,33,68,.308,0.354,0.489,0.842,130,.357,130,221,naylojo01
108,Royce Lewis,2.4,58,239.0,217.0,36,67.0,7,0,15.0,52.0,6,1,20,55,.309,0.372,0.548,0.921,149,.393,149,119,lewisro02
109,Nolan Gorman*,2.4,119,464.0,406.0,59,96.0,17,0,27.0,76.0,7,2,53,148,.236,0.328,0.478,0.805,116,.347,115,194,gormano01
110,Bryan Reynolds#,2.4,145,640.0,574.0,85,151.0,31,5,24.0,84.0,12,1,53,138,.263,0.33,0.46,0.79,111,.343,111,264,reynobr01
111,Mike Tauchman*,2.4,108,401.0,337.0,64,85.0,18,0,8.0,48.0,7,1,56,86,.252,0.363,0.377,0.739,105,.342,107,127,tauchmi01
112,Jon Berti,2.4,133,424.0,388.0,53,114.0,16,3,7.0,33.0,16,6,29,77,.294,0.344,0.405,0.748,98,.331,102,157,bertijo01
113,José Caballero,2.4,104,280.0,231.0,37,51.0,9,1,4.0,26.0,26,3,28,66,.221,0.343,0.32,0.663,92,.323,96,74,cabaljo01
114,Nolan Arenado,2.4,144,612.0,560.0,71,149.0,26,2,26.0,93.0,3,3,41,101,.266,0.315,0.459,0.774,108,.335,109,257,arenano01
115,Josh Jung,2.4,122,515.0,478.0,75,127.0,25,1,23.0,70.0,1,3,30,151,.266,0.315,0.467,0.781,113,.334,108,223,jungjo01
116,Gary Sánchez,2.4,75,267.0,240.0,33,52.0,9,0,19.0,47.0,0,0,21,67,.217,0.288,0.492,0.78,110,.337,115,118,sanchga02
117,Mike Yastrzemski*,2.4,106,381.0,330.0,54,77.0,23,1,15.0,43.0,2,2,45,99,.233,0.33,0.445,0.775,114,.333,111,147,yastrmi01
118,Jeff McNeil*,2.4,156,648.0,585.0,75,158.0,25,4,10.0,55.0,10,0,39,65,.270,0.333,0.378,0.711,97,.320,97,221,mcneije01
119,Eugenio Suárez,2.3,162,694.0,598.0,68,139.0,29,0,22.0,96.0,2,1,70,214,.232,0.323,0.391,0.714,103,.315,103,234,suareeu01
120,Ryan Noda*,2.3,128,495.0,406.0,63,93.0,22,1,16.0,54.0,3,1,77,170,.229,0.364,0.406,0.77,118,.340,124,165,nodary01
121,Geraldo Perdomo#,2.3,144,495.0,407.0,71,100.0,20,4,6.0,47.0,16,4,64,86,.246,0.353,0.359,0.712,95,.323,97,146,perdoge01
122,Thairo Estrada,2.3,120,530.0,495.0,63,134.0,26,2,14.0,49.0,23,7,22,120,.271,0.315,0.416,0.731,102,.325,101,206,estrath01
123,Triston Casas*,2.2,132,502.0,429.0,66,113.0,21,2,24.0,65.0,0,0,70,126,.263,0.367,0.49,0.856,129,.369,130,210,casastr01
124,Jack Suwinski*,2.2,144,534.0,447.0,63,100.0,21,2,26.0,74.0,13,2,75,172,.224,0.339,0.454,0.793,113,.349,115,203,suwinja01
125,Brent Rooker,2.2,137,526.0,463.0,61,114.0,20,1,30.0,69.0,4,0,49,172,.246,0.329,0.488,0.817,127,.351,131,226,rookebr01
126,Matt Wallner*,2.2,76,254.0,213.0,42,53.0,11,1,14.0,41.0,2,1,28,80,.249,0.37,0.507,0.877,138,.386,147,108,wallnma01
127,Connor Wong,2.2,126,403.0,371.0,55,87.0,25,2,9.0,36.0,8,2,22,134,.235,0.288,0.385,0.673,80,.299,78,143,wongco01
128,Mickey Moniak*,2.2,85,323.0,311.0,35,87.0,21,2,14.0,45.0,6,3,9,113,.280,0.307,0.495,0.802,114,.339,111,154,moniami01
129,Mark Canha,2.2,139,507.0,435.0,51,114.0,25,1,11.0,62.0,11,1,49,79,.262,0.355,0.4,0.755,108,.340,111,174,canhama01
130,Mitch Garver,2.1,87,344.0,296.0,45,80.0,11,0,19.0,50.0,0,0,44,82,.270,0.37,0.5,0.87,138,.381,140,148,garvemi01
131,Teoscar Hernández,2.1,160,678.0,625.0,70,161.0,29,2,26.0,93.0,7,2,38,211,.258,0.305,0.435,0.741,108,.318,104,272,hernate01
132,Tommy Edman#,2.1,137,528.0,479.0,69,119.0,25,4,13.0,47.0,27,4,35,84,.248,0.307,0.399,0.705,91,.319,91,191,edmanto01
133,Justin Turner,2.1,146,626.0,558.0,86,154.0,31,0,23.0,96.0,4,1,51,110,.276,0.345,0.455,0.8,114,.350,116,254,turneju01
134,Jarren Duran*,2.1,102,362.0,332.0,46,98.0,34,2,8.0,40.0,24,2,24,90,.295,0.346,0.482,0.828,121,.366,119,160,duranja01
135,Brandon Lowe*,2.1,109,436.0,377.0,58,87.0,15,1,21.0,68.0,7,0,50,119,.231,0.328,0.443,0.771,112,.340,114,167,lowebr01
136,George Springer,2.1,154,683.0,613.0,87,158.0,25,1,21.0,72.0,20,5,60,125,.258,0.327,0.405,0.732,102,.327,105,248,springe01
137,Ryan Mountcastle,2.1,115,470.0,423.0,64,114.0,21,1,18.0,68.0,3,1,37,107,.270,0.328,0.452,0.779,117,.335,116,191,mountry01
138,Harold Ramírez,2.1,122,434.0,400.0,58,125.0,19,2,12.0,68.0,5,3,22,79,.313,0.353,0.46,0.813,124,.356,129,184,ramirha02
139,Kyle Isbel*,2.1,91,313.0,292.0,45,70.0,22,2,5.0,34.0,7,1,17,59,.240,0.282,0.38,0.662,79,.289,75,111,isbelky01
140,Jared Triolo,2.1,54,209.0,181.0,30,54.0,9,0,3.0,21.0,6,1,24,63,.298,0.388,0.398,0.785,114,.367,128,72,triolja01
141,Brandon Belt*,2.0,103,404.0,339.0,53,86.0,23,0,19.0,43.0,0,0,61,141,.254,0.369,0.49,0.858,135,.373,139,166,beltbr01
142,Jarred Kelenic*,2.0,105,416.0,372.0,44,94.0,25,2,11.0,49.0,13,5,41,132,.253,0.327,0.419,0.746,111,.327,110,156,kelenja01
143,Taylor Walls#,2.0,99,349.0,303.0,50,61.0,12,2,8.0,36.0,22,1,44,92,.201,0.305,0.333,0.638,78,.302,80,101,wallsta01
144,Trent Grisham*,2.0,153,555.0,469.0,67,93.0,31,1,13.0,50.0,15,3,75,154,.198,0.315,0.352,0.666,84,.309,92,165,grishtr01
145,Vladimir Guerrero Jr.,2.0,156,682.0,602.0,78,159.0,30,0,26.0,94.0,5,3,67,100,.264,0.345,0.444,0.788,116,.346,121,267,guerrvl02
146,Andy Ibáñez,2.0,114,383.0,356.0,42,94.0,23,2,11.0,41.0,1,0,24,69,.264,0.312,0.433,0.744,103,.320,98,154,ibanean01
147,Jorge Polanco#,2.0,80,343.0,302.0,38,77.0,18,0,14.0,48.0,4,0,36,88,.255,0.335,0.454,0.789,114,.341,112,137,polanjo01
148,Kerry Carpenter*,1.9,118,459.0,418.0,57,116.0,17,2,20.0,64.0,6,0,32,115,.278,0.34,0.471,0.811,122,.351,118,197,carpeke01
149,Alejandro Kirk,1.9,123,422.0,372.0,34,93.0,16,0,8.0,43.0,0,0,42,45,.250,0.334,0.358,0.692,92,.308,93,133,kirkal01
150,Jason Heyward*,1.9,124,377.0,334.0,56,90.0,23,0,15.0,40.0,2,2,34,64,.269,0.34,0.473,0.813,119,.355,120,158,heywaja01
151,Brandon Drury,1.9,125,523.0,485.0,61,127.0,30,3,26.0,83.0,0,2,25,136,.262,0.306,0.497,0.803,114,.339,112,241,drurybr01
152,Michael A. Taylor,1.9,129,388.0,355.0,48,78.0,14,1,21.0,51.0,13,1,26,130,.220,0.278,0.442,0.72,93,.316,92,157,taylomi02
153,J.D. Martinez,1.9,113,479.0,432.0,61,117.0,27,2,33.0,103.0,1,0,34,149,.271,0.321,0.572,0.893,136,.372,131,247,martijd02
154,Luis Rengifo#,1.9,126,445.0,394.0,55,104.0,15,4,16.0,51.0,6,4,41,82,.264,0.339,0.444,0.783,112,.339,112,175,rengilu01
155,Brendan Donovan*,1.9,95,371.0,327.0,48,93.0,10,1,11.0,34.0,5,1,33,53,.284,0.365,0.422,0.787,114,.358,123,138,donovbr01
156,Riley Greene*,1.9,99,416.0,378.0,51,109.0,19,4,11.0,37.0,7,0,35,114,.288,0.349,0.447,0.796,119,.351,118,169,greenri03
157,Stone Garrett,1.9,89,271.0,234.0,40,63.0,17,0,9.0,40.0,3,1,26,82,.269,0.343,0.457,0.801,121,.354,124,107,garrest01
158,Ramón Laureano,1.8,105,404.0,361.0,46,81.0,18,4,9.0,35.0,12,1,33,114,.224,0.304,0.371,0.676,89,.305,93,134,laurera01
159,Davis Schneider,1.8,35,141.0,116.0,23,32.0,12,1,8.0,20.0,1,0,21,43,.276,0.404,0.603,1.008,174,.429,179,70,schneda03
160,Nicky Lopez*,1.8,93,262.0,225.0,32,52.0,8,3,1.0,25.0,6,2,26,40,.231,0.326,0.307,0.632,75,.292,77,69,lopezni01
161,Jorge Soler,1.8,137,580.0,504.0,77,126.0,24,0,36.0,75.0,1,0,66,141,.250,0.341,0.512,0.853,123,.364,126,258,solerjo01
162,Ramón Urías,1.8,116,396.0,360.0,45,95.0,22,3,4.0,42.0,3,1,27,101,.264,0.328,0.375,0.703,98,.313,100,135,uriasra01
163,Kyle Farmer,1.7,120,369.0,336.0,49,86.0,14,2,11.0,46.0,2,4,23,86,.256,0.317,0.408,0.725,97,.322,104,137,farmeky01
164,Adam Frazier*,1.7,141,455.0,412.0,59,99.0,21,2,13.0,60.0,11,4,32,68,.240,0.3,0.396,0.696,94,.307,95,163,fraziad01
165,Jose Siri,1.7,101,364.0,338.0,58,75.0,13,2,25.0,56.0,12,3,20,130,.222,0.267,0.494,0.761,105,.322,102,167,sirijo01
166,Jesús Sánchez*,1.7,125,402.0,360.0,43,91.0,23,3,14.0,52.0,3,1,38,107,.253,0.327,0.45,0.777,104,.343,111,162,sanchje02
167,Freddy Fermin,1.7,70,235.0,217.0,26,61.0,10,1,9.0,32.0,0,0,13,50,.281,0.321,0.461,0.781,110,.335,110,100,fermifr01
168,Yan Gomes,1.7,116,419.0,382.0,44,102.0,20,2,10.0,63.0,1,0,21,81,.267,0.315,0.408,0.723,98,.313,87,156,gomesya01
169,Taylor Ward,1.7,97,409.0,356.0,60,90.0,18,0,14.0,47.0,4,2,39,80,.253,0.335,0.421,0.756,105,.336,108,150,wardta01
170,Donovan Solano,1.7,134,450.0,394.0,43,111.0,26,1,5.0,38.0,0,0,40,100,.282,0.369,0.391,0.76,110,.341,114,154,solando01
